"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1794781734057480252","Mon May 27 17:19:37 +0000 2024","0","@recehtapisayng bener bgt anying sisa sepuluh rebu ","1795142830026817902","","recehtapisayng","in","","0","0","0","https://x.com/koncolkuda/status/1795142830026817902","1323611808251277312","koncolkuda"
"1794671843640766580","Mon May 27 17:16:36 +0000 2024","0","@huhtaekook aku padamu unggie ","1795142069297541366","","huhtaekook","in","","0","0","0","https://x.com/koncolkuda/status/1795142069297541366","1323611808251277312","koncolkuda"
"1795062567028527539","Mon May 27 17:12:51 +0000 2024","0","@OrwellNGoode SnakeMan","1795141128376783359","","OrwellNGoode","in","Hive Of Scum And Villainy ","0","0","0","https://x.com/PipLiam/status/1795141128376783359","1312911692322439177","PipLiam"
"1795140739459911913","Mon May 27 17:11:19 +0000 2024","0","gue gatau apa lupa tapi OKE JADI FIX YA USOK BISA NYETIR AHAY","1795140739459911913","","","in","","0","0","0","https://x.com/wookiesn/status/1795140739459911913","1439468298391801858","wookiesn"
"1795097472047464948","Mon May 27 17:09:19 +0000 2024","0","@Heraloebss Gw jg piara Kucing tp indoor pip pun juga terkendali. Jd tidk merugikan orang lain. Bahkan gw buang pup nya pun sampe ke TPA yg jaraknya hampir 8KM dr rumah (seminggu sekali) Kamarpun jg saya kasih pewangi spy mengurangi amoniak dari pup pip. Dan soal sengaja ngeracun kcng ","1795140239796650472","","Heraloebss","in","Solo","0","1","0","https://x.com/shandaljephit/status/1795140239796650472","1459464444061241346","shandaljephit"
"1795057211225338135","Mon May 27 17:07:46 +0000 2024","0","@lfcSTONES Suarez","1795139846580633739","","lfcSTONES","in","London, England","0","0","0","https://x.com/cfc_pips705/status/1795139846580633739","1734246998939758598","cfc_pips705"
"1795080335564083621","Mon May 27 17:07:21 +0000 2024","1","@pips_daily XAUUSD","1795139744323502358","","pips_daily","in","","0","0","0","https://x.com/Aguwamba32/status/1795139744323502358","1586769525558722560","Aguwamba32"
"1795137228806434861","Mon May 27 16:57:22 +0000 2024","0","heueheueueu i maze u batangas pips hay pero sige","1795137228806434861","","","in","","0","0","0","https://x.com/leynssii/status/1795137228806434861","1408596199121178626","leynssii"
"1795136245774848194","Mon May 27 16:55:11 +0000 2024","0","@pepaycruz_ simang","1795136682515210401","","pepaycruz_","in","Lanang City","0","0","0","https://x.com/japipsss/status/1795136682515210401","1279434809735958528","japipsss"
"1795135728352952459","Mon May 27 16:51:24 +0000 2024","0","Xau/Usd Sell 1️⃣TP TP Hit ️30+Pips Running Profits ️️","1795135728352952459","","","in","","0","0","0","https://x.com/danish_2255/status/1795135728352952459","1636379525662777344","danish_2255"
"1794671843640766580","Mon May 27 16:48:46 +0000 2024","0","@huhtaekook emosi gw membumbung tinggi ya Allah kimak kau t","1795135067502555327","","huhtaekook","in","","0","0","0","https://x.com/koncolkuda/status/1795135067502555327","1323611808251277312","koncolkuda"
"1794799329062105200","Mon May 27 16:44:27 +0000 2024","0","@assss3rwtwu cek dm dong","1795133979927982400","","assss3rwtwu","in","","0","0","0","https://x.com/PsAppiip22661/status/1795133979927982400","1652514511126163456","PsAppiip22661"
"1795125047209722132","Mon May 27 16:38:20 +0000 2024","0","@FN_shafa Takut bangeeettt","1795132439284601230","","FN_shafa","in","Jakarta, Indonesia","0","1","0","https://x.com/rafifrizqu/status/1795132439284601230","607885405","rafifrizqu"
"1795128005284483466","Mon May 27 16:20:58 +0000 2024","0","tetep selow karena ditemani dangdut jawa","1795128068832366806","","handoxxo","in","","0","0","0","https://x.com/handoxxo/status/1795128068832366806","1542473619754094593","handoxxo"
"1795128005284483466","Mon May 27 16:20:42 +0000 2024","0","gajelas bikin jurnal 2 5 jam","1795128005284483466","","","in","","0","1","0","https://x.com/handoxxo/status/1795128005284483466","1542473619754094593","handoxxo"
"1795125858153242686","Mon May 27 16:12:11 +0000 2024","2","tim ganti homescreen krn lockscreen muka aku sendiri tercapai jga cita2 pake homescreen hasil jepretan sendiri cakep bgt busettt https://t.co/YxCr2ADs30","1795125858153242686","https://pbs.twimg.com/media/GOmRc4FaYAAKI4Y.jpg","","in","bts en- skz nct","0","0","0","https://x.com/aiiparpelyu/status/1795125858153242686","471637510","aiiparpelyu"
"1795125047209722132","Mon May 27 16:10:30 +0000 2024","0","@FN_shafa Wkwk iye lagi","1795125437116424426","","FN_shafa","in","Jakarta, Indonesia","0","1","0","https://x.com/rafifrizqu/status/1795125437116424426","607885405","rafifrizqu"
"1795125047209722132","Mon May 27 16:08:57 +0000 2024","2","bertemu dengan dospem 3 dan 4 lalu kuajak mereka mencicip rubub maya melayu yang kesohor itu. https://t.co/HvSqMJ0fJ7","1795125047209722132","https://pbs.twimg.com/media/GOmQtxwacAAxM6X.jpg","","in","Jakarta, Indonesia","0","2","0","https://x.com/rafifrizqu/status/1795125047209722132","607885405","rafifrizqu"
"1795124809400988034","Mon May 27 16:08:01 +0000 2024","0","energi yang keluar saat bersosialisasi dengan orang banyak = energi yang keluar saat ganti popok bayi yang sedang menangis dengan semangatnya","1795124809400988034","","","in","Rito Village","0","0","0","https://x.com/afif___rizki/status/1795124809400988034","356449518","afif___rizki"
"1795124329450996011","Mon May 27 16:06:06 +0000 2024","0","akhirnya kelar juga nontonin fancam dan upload di ig seminggu lebih bzirrr see u di TDS 4 @NCTsmtown_DREAM https://t.co/BikfRbEVyu","1795124329450996011","https://pbs.twimg.com/media/GOmQD1tbEAAP623.jpg","","in","bts en- skz nct","0","0","0","https://x.com/aiiparpelyu/status/1795124329450996011","471637510","aiiparpelyu"
"1795123447086866749","Mon May 27 16:02:36 +0000 2024","0","masuk fase punya bayi berasa masuk instansi pemerintahan banyak bener yg disingkat-singkat.","1795123447086866749","","","in","Rito Village","0","0","1","https://x.com/afif___rizki/status/1795123447086866749","356449518","afif___rizki"
"1795121603614752795","Mon May 27 15:55:16 +0000 2024","0","PERTEMUAN 9 PIP NGAPAIN JIR ORG WAKTU ITU BAPAKNY BAHAS KEMENANGAN 02 DOANG","1795121603614752795","","","in","","0","0","0","https://x.com/farrrawayyyyyyy/status/1795121603614752795","1757034673749008384","farrrawayyyyyyy"
"1795068175932850573","Mon May 27 15:53:13 +0000 2024","1","@sobattoxic Itu kan coblosan lo pip pas 2019. Wkwkw... ","1795121087941918786","","sobattoxic","in","","0","2","0","https://x.com/ileristi/status/1795121087941918786","1624313473512648705","ileristi"
"1795115657299669464","Mon May 27 15:48:26 +0000 2024","0","@afifpasyaaa Info line up pajama pip","1795119882071130475","","afifpasyaaa","in","NKRI HARGA MATI","0","0","0","https://x.com/_dimhar/status/1795119882071130475","1306157480020303872","_dimhar"
"1795107348446433345","Mon May 27 15:45:48 +0000 2024","3","@cingreborn @motokyoo cek toren pip","1795119220621037778","","cingreborn","in","","0","1","0","https://x.com/stressinmay/status/1795119220621037778","3306824184","stressinmay"
"1795101452454547484","Mon May 27 15:45:46 +0000 2024","0","@bimaaminulah696 @cadburrycrunchy pdhl tggl jwb y/n","1795119211942961644","","bimaaminulah696","in","","0","1","0","https://x.com/handoxxo/status/1795119211942961644","1542473619754094593","handoxxo"
"1781741198799188214","Mon May 27 15:42:31 +0000 2024","0","@taekoooobi ngakak banget aowkaoaok mamam tuh streg","1795118394426929240","","taekoooobi","in","","0","0","0","https://x.com/koncolkuda/status/1795118394426929240","1323611808251277312","koncolkuda"
"1795111058413138135","Mon May 27 15:41:08 +0000 2024","0","@idextratime ihhh the nuruls meresahkan","1795118047616766282","","idextratime","in","","0","0","0","https://x.com/markleephrince/status/1795118047616766282","1252086573480337409","markleephrince"
